data_id,event_date,inter1,inter2
6039345,20180225,1,7
6039346,20180225,1,7
5855804,20180225,2,2
6123583,20180225,1,7
7264838,20180225,3,7
5867847,20180225,2,2
6054483,20180225,8,7
5867861,20180225,2,2
5844311,20180225,1,7
5867864,20180225,1,0
5860196,20180225,2,2
5863527,20180225,3,3
6080874,20180225,2,2
5866603,20180225,3,1
6054510,20180225,8,7
5866609,20180225,3,0
5858418,20180225,1,0
5866610,20180225,3,0
6123379,20180225,1,7
5866612,20180225,1,0
5866615,20180225,3,0
6043768,20180225,1,7
7263097,20180225,8,0
6122362,20180225,2,7
5856635,20180225,1,3
5866619,20180225,8,0
6123133,20180225,1,7
6123136,20180225,2,2
6123907,20180225,1,7
6043013,20180225,1,0
5868169,20180225,3,0
6081929,20180225,8,0
5868170,20180225,1,7
6080138,20180225,1,2
5868172,20180225,1,0
6130317,20180225,1,7
5856657,20180225,1,0
5863827,20180225,3,2
6079897,20180225,2,2
6993563,20180225,1,2
6043045,20180225,1,0
6130089,20180225,1,0
5854385,20180225,3,0
6122931,20180225,3,7
5869491,20180225,1,0
5867961,20180225,3,7
5869501,20180225,1,0
6079172,20180225,8,0
5862604,20180225,2,2
7020762,20180225,8,2
5907934,20180225,1,0
5861087,20180225,1,0
5907939,20180225,1,0
6054633,20180225,8,7
5867754,20180225,1,0
5861100,20180225,3,0
5861101,20180225,1,0
7285998,20180225,2,0
6054641,20180225,8,7
5868788,20180225,2,2
5868789,20180225,8,7
6080504,20180225,1,2
6081272,20180225,3,0
5861113,20180225,1,0
6130429,20180225,1,0
5864447,20180225,2,2
6039296,20180224,1,7
5859584,20180224,2,0
6039297,20180224,1,0
6039298,20180224,1,7
5859586,20180224,2,0
6122498,20180224,8,7
6039299,20180224,1,7
6039301,20180224,1,7
6039302,20180224,8,7
6039303,20180224,8,7
6122759,20180224,1,2
6039304,20180224,1,7
6039305,20180224,8,7
5861385,20180224,1,7
6039306,20180224,1,7
6039307,20180224,8,2
6122763,20180224,2,7
6039308,20180224,2,1
6039310,20180224,1,7
5853454,20180224,2,0
6122510,20180224,2,7
6039311,20180224,1,2
5848593,20180224,2,2
5853457,20180224,1,0
6078737,20180224,2,2
5853458,20180224,2,0
5866006,20180224,1,0
5851679,20180224,3,0
6080547,20180224,1,2
5857829,20180224,2,2
6122797,20180224,2,7
5842224,20180224,1,0
6125616,20180224,1,7
5856051,20180224,2,0
5858611,20180224,3,3
6076212,20180224,2,2
5690166,20180224,1,1
5841464,20180224,1,0
7285310,20180224,1,7
5853503,20180224,3,7
5853508,20180224,3,7
6079824,20180224,2,1
6056017,20180224,8,7
5851218,20180224,3,7
5851730,20180224,2,2
5853525,20180224,1,0
5856092,20180224,3,0
6125660,20180224,2,7
5856094,20180224,3,0
