data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction
6411130,231,ETH3220,3220,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411131,231,ETH3223,3223,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411133,231,ETH3229,3229,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411137,231,ETH3241,3241,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6409607,231,ETH3202,3202,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,Police Forces of Ethiopia (1995-2018),,1,16
6411143,231,ETH3255,3255,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,Military Forces of Ethiopia (1995-2018),,1,16
6409608,231,ETH3299,3299,20160806,2016,1,Riots,Violent demonstration,Rioters (Ethiopia),Oromo Ethnic Group (Ethiopia); Students (Ethiopia),5,Police Forces of Ethiopia (1995-2018),,1,15
6411144,231,ETH3258,3258,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,Military Forces of Ethiopia (1995-2018),,1,16
6409609,231,ETH3300,3300,20160806,2016,1,Riots,Violent demonstration,Rioters (Ethiopia),Oromo Ethnic Group (Ethiopia),5,Police Forces of Ethiopia (1995-2018),,1,15
6411145,231,ETH3265,3265,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,Police Forces of Ethiopia (1995-2018),,1,16
6409610,231,ETH3301,3301,20160806,2016,1,Protests,Excessive force against protesters,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,Military Forces of Ethiopia (1995-2018),,1,16
6409611,231,ETH3303,3303,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6409612,231,ETH3304,3304,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6859664,231,ETH3292,3292,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6411152,231,ETH3243,3243,20160806,2016,1,Riots,Violent demonstration,Rioters (Ethiopia),Oromo Ethnic Group (Ethiopia),5,Military Forces of Ethiopia (1995-2018),,1,15
6411153,231,ETH3244,3244,20160806,2016,1,Riots,Violent demonstration,Police Forces of Ethiopia (1995-2018),,1,Rioters (Ethiopia),Oromo Ethnic Group (Ethiopia),5,15
6411416,231,ETH3273,3273,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6411425,231,ETH3209,3209,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
